Communities,City,Province,Country,Sub-county,Region
Altagracia,Constanza,La Vega,Dominican Republic,test1,reg1
Arenaso,Constanza,La Vega,Dominican Republic,test2,reg2
Arroyo Arriba,Constanza,La Vega,Dominican Republic,test3,reg3
Arroyo Frio,Constanza,La Vega,Dominican Republic,test4,reg4
Av. Mella,Constanza,La Vega,Dominican Republic,test5,
Barrio Central,Constanza,La Vega,Dominican Republic,test6,reg6
Barrio Esteban,Constanza,La Vega,Dominican Republic,test7,reg7
Barrio Hollywood,San Pedro,San Pedro de Macoris,Dominican Republic,test8,reg8
Barrio Las Flores,Constanza,La Vega,Dominican Republic,,reg9
Barrio Libertad,San Pedro,San Pedro de Macoris,Dominican Republic,test10,reg10
Barrio Lindo,Constanza,La Vega,Dominican Republic,test11,reg11
Barrio San Pedro,San Pedro,San Pedro de Macoris,Dominican Republic,test12,reg12
Batey 50,San Pedro,San Pedro de Macoris,Dominican Republic,test13,reg13
Batey Aleman,San Pedro,San Pedro de Macoris,Dominican Republic,test14,reg14
Batey Amelia,San Pedro,San Pedro de Macoris,Dominican Republic,test15,reg15
Batey Bomba 2,San Pedro,San Pedro de Macoris,Dominican Republic,test16,reg16
Batey Cubana,San Pedro,San Pedro de Macoris,Dominican Republic,test17,reg17
Batey El Molino de Olivales,San Pedro,San Pedro de Macoris,Dominican Republic,test18,
Batey El Soco,San Pedro,San Pedro de Macoris,Dominican Republic,test19,
Batey Esperanza,San Pedro,San Pedro de Macoris,Dominican Republic,,reg20
Batey Inocencia,San Pedro,San Pedro de Macoris,Dominican Republic,test21,reg21
Batey La Balsa,San Pedro,San Pedro de Macoris,Dominican Republic,test22,reg22
Batey la Cerveseria,San Pedro,San Pedro de Macoris,Dominican Republic,,reg23
Batey La Laura,San Pedro,San Pedro de Macoris,Dominican Republic,,reg24
Batey La Papita,San Pedro,San Pedro de Macoris,Dominican Republic,,reg25
Batey Monte Cristi,San Pedro,San Pedro de Macoris,Dominican Republic,,reg26
